Timestamp,RequestID,LogStream,DurationInMS,BilledDurationInMS,MemorySetInMB,MemoryUsedInMB
2022-12-25 17:00:15.127,cf25a953-2c13-575d-bf13-f571afcd90c1,2022/12/25/[$LATEST]8520b1ce6b794cb99fb6a3163b14124f,833.93,834.0,128,83
2022-12-25 17:00:15.106,c8e9a283-586a-5827-a5da-fea1dbb42aa4,2022/12/25/[$LATEST]151cb5e0a63043b4ad4f64296b7a02fe,852.36,853.0,128,83
2022-12-25 17:00:15.048,0f64f5b9-201a-5ec1-9f00-a99ba3c4fa38,2022/12/25/[$LATEST]5f7be210e06942c79f1f1c7cf649f603,848.35,849.0,128,83
2022-12-25 17:00:14.849,fdabcb3a-25bf-520a-b72b-9718a661f089,2022/12/25/[$LATEST]4d38d68d9b794584a5662b809cbcc740,807.25,808.0,128,83
2022-12-25 17:00:14.612,4b39017b-507c-5ced-80dd-5d59d3a1b814,2022/12/25/[$LATEST]14f7fc1e06df44269caa414d51b280f0,815.62,816.0,128,82
2022-12-25 17:00:14.377,62603af3-041d-5aa6-b30d-66d187c00e5f,2022/12/25/[$LATEST]88aafffcaa04449cb6bc7367398d7a4d,833.76,834.0,128,83
2022-12-25 17:00:14.188,fd0aaf39-9f2f-5ad0-a3fd-f31b1cf25b4b,2022/12/25/[$LATEST]5f7be210e06942c79f1f1c7cf649f603,840.05,841.0,128,83
2022-12-25 17:00:13.771,b739c553-25c7-5ce3-8f59-9971a61b4d78,2022/12/25/[$LATEST]14f7fc1e06df44269caa414d51b280f0,823.16,824.0,128,82
2022-12-25 17:00:13.749,07f2a0cb-6a7b-51e8-a2a8-fce9e9a73073,2022/12/25/[$LATEST]4d38d68d9b794584a5662b809cbcc740,836.74,837.0,128,83
2022-12-25 17:00:13.706,3b2cf8cc-9221-52fe-a5f3-a4ee11fd6365,2022/12/25/[$LATEST]151cb5e0a63043b4ad4f64296b7a02fe,853.44,854.0,128,83
2022-12-25 17:00:13.667,3bb3b671-3ef3-549f-8e24-ea53bd2f1504,2022/12/25/[$LATEST]8520b1ce6b794cb99fb6a3163b14124f,918.88,919.0,128,83
